id,categoryId,name,nameHe,startDate,endDate,description,descriptionHe,link,linkHe
event-thirty-years-war,europe,Thirty Years War,מלחמת שלושים השנה,5378,5408,Devastating European religious and political war (1618–1648 CE),מלחמה אירופאית הרסנית על בסיס דתי ופוליטי (1618–1648 לספירה),https://en.wikipedia.org/wiki/Thirty_Years%27_War,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%A9%D7%9C%D7%95%D7%A9%D7%99%D7%9D_%D7%94%D7%A9%D7%A0%D7%99%D7%9D
event-enlightenment,europe,Age of Enlightenment,עידן ההשכלה,5445,5575,European intellectual movement emphasizing reason and individual rights (c. 1685–1815 CE),תנועה אינטלקטואלית אירופאית המדגישה תבונה וזכויות הפרט (כ-1685–1815 לספירה),https://en.wikipedia.org/wiki/Age_of_Enlightenment,https://he.wikipedia.org/wiki/%D7%A2%D7%99%D7%93%D7%9F_%D7%94%D7%A0%D7%90%D7%95%D7%A8%D7%95%D7%AA
event-industrial-revolution,world,Industrial Revolution,המהפכה התעשייתית,5520,5600,Transition to manufacturing and industry – began in Britain (c. 1760–1840 CE),מעבר לייצור ותעשייה – החל בבריטניה (כ-1760–1840 לספירה),https://en.wikipedia.org/wiki/Industrial_Revolution,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%94%D7%A4%D7%9B%D7%94_%D7%94%D7%AA%D7%A2%D7%A9%D7%99%D7%99%D7%AA%D7%99%D7%AA
event-american-revolution,america,American Revolution,המהפכה האמריקאית,5535,5543,Colonial revolt against Britain leading to US independence (1775–1783 CE),"מרד המושבות נגד בריטניה שהוביל לעצמאות ארהב (1775–1783 לספירה)",https://en.wikipedia.org/wiki/American_Revolution,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%94%D7%A4%D7%9B%D7%94_%D7%94%D7%90%D7%9E%D7%A8%D7%99%D7%A7%D7%90%D7%99%D7%AA
event-french-revolution,europe,French Revolution,המהפכה הצרפתית,5549,5559,Political and social revolution that overthrew the French monarchy (1789–1799 CE),מהפכה פוליטית וחברתית שהפילה את המלוכה הצרפתית (1789–1799 לספירה),https://en.wikipedia.org/wiki/French_Revolution,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%94%D7%A4%D7%9B%D7%94_%D7%94%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%D7%AA
event-napoleonic-wars,europe,Napoleonic Wars,המלחמות הנפוליאוניות,5563,5575,Series of conflicts led by Napoleon that reshaped Europe (1803–1815 CE),סדרת מלחמות בהובלת נפוליאון ששינו את אירופה (1803–1815 לספירה),https://en.wikipedia.org/wiki/Napoleonic_Wars,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%95%D7%AA_%D7%94%D7%A0%D7%A4%D7%95%D7%9C%D7%99%D7%90%D7%95%D7%A0%D7%99%D7%95%D7%AA
event-american-civil-war,america,American Civil War,מלחמת האזרחים האמריקאית,5621,5625,War between the Union and Confederate states over slavery and secession (1861–1865 CE),מלחמה בין מדינות האיחוד והקונפדרציה על עבדות ופרישה (1861–1865 לספירה),https://en.wikipedia.org/wiki/American_Civil_War,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%90%D7%96%D7%A8%D7%97%D7%99%D7%9D_%D7%94%D7%90%D7%9E%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%AA
event-wwi,world,World War I,מלחמת העולם הראשונה,5674,5678,Global war centred in Europe – over 20 million dead (1914–1918 CE),מלחמה עולמית שמרכזה באירופה – למעלה מ-20 מיליון הרוגים (1914–1918 לספירה),https://en.wikipedia.org/wiki/World_War_I,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%A2%D7%95%D7%9C%D7%9D_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94
event-wwii,world,World War II,מלחמת העולם השניה,5699,5705,Deadliest conflict in history – over 70 million casualties (1939–1945 CE),הסכסוך הקטלני ביותר בהיסטוריה – למעלה מ-70 מיליון קורבנות (1939–1945 לספירה),https://en.wikipedia.org/wiki/World_War_II,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%A2%D7%95%D7%9C%D7%9D_%D7%94%D7%A9%D7%A0%D7%99%D7%99%D7%94
event-cold-war,world,Cold War,המלחמה הקרה,5707,5751,Geopolitical tension between the United States and Soviet Union (1947–1991 CE),"מתח גיאופוליטי בין ארהב לברית המועצות (1947–1991 לספירה)",https://en.wikipedia.org/wiki/Cold_War,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94_%D7%94%D7%A7%D7%A8%D7%94
