id,name,nameHe,startDate,endDate,description,descriptionHe,link,linkHe
event-pax-romana,Pax Romana,פאקס רומנה,3734,3940,Period of relative peace and stability in the Roman Empire (27 BCE – 180 CE),"תקופת שלום ויציבות יחסית באימפריה הרומית (27 לפנהס – 180 לספירה)",https://en.wikipedia.org/wiki/Pax_Romana,https://he.wikipedia.org/wiki/%D7%94%D7%A9%D7%9C%D7%95%D7%9D_%D7%94%D7%A8%D7%95%D7%9E%D7%90%D7%99
event-jesus,Life of Jesus,חיי ישו,3757,3793,Life of Jesus of Nazareth – central figure of Christianity (c. 4 BCE – 33 CE),"חיי ישו הנוצרי – דמות מרכזית בנצרות (כ-4 לפנהס – 33 לספירה)",https://en.wikipedia.org/wiki/Jesus,https://he.wikipedia.org/wiki/%D7%99%D7%A9%D7%95
event-byzantine,Byzantine Empire,האימפריה הביזנטית,4090,5213,Eastern Roman Empire – major cultural and political power for over a millennium (330–1453 CE),האימפריה הרומית המזרחית – כוח תרבותי ופוליטי לאורך יותר מאלף שנה (330–1453 לספירה),https://en.wikipedia.org/wiki/Byzantine_Empire,https://he.wikipedia.org/wiki/%D7%94%D7%90%D7%99%D7%9E%D7%A4%D7%A8%D7%99%D7%94_%D7%94%D7%91%D7%99%D7%96%D7%A0%D7%98%D7%99%D7%AA
event-muhammad,Life of Muhammad,חיי מוחמד,4330,4392,Life of Muhammad – prophet and founder of Islam (570–632 CE),חיי מוחמד – נביא ומייסד האסלאם (570–632 לספירה),https://en.wikipedia.org/wiki/Muhammad,https://he.wikipedia.org/wiki/%D7%9E%D7%95%D7%97%D7%9E%D7%93
event-islamic-caliphate,Islamic Caliphate,הח'ליפות האסלאמית,4392,5018,The Islamic Caliphates – from the Rashidun to the Mongol sack of Baghdad (632–1258 CE),הח'ליפויות האסלאמיות – מהח'ליפות הראשידית עד נפילת בגדד (632–1258 לספירה),https://en.wikipedia.org/wiki/Caliphate,https://he.wikipedia.org/wiki/%D7%97'%D7%9C%D7%99%D7%A4%D7%95%D7%AA
event-viking-age,Viking Age,עידן הוויקינגים,4553,4826,Period of Norse seafaring expansion and raids across Europe (793–1066 CE),תקופת ההרחבה הנורדית והפשיטות באירופה (793–1066 לספירה),https://en.wikipedia.org/wiki/Viking_Age,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%A7%D7%95%D7%A4%D7%94_%D7%94%D7%95%D7%95%D7%99%D7%A7%D7%99%D7%A0%D7%92%D7%99%D7%AA
event-crusades,The Crusades,מסעי הצלב,4856,5051,Religious military campaigns by Western Christians to the Holy Land (1096–1291 CE),מסעות צבאיים דתיים של נוצרים מערביים לארץ הקודש (1096–1291 לספירה),https://en.wikipedia.org/wiki/Crusades,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2%D7%99_%D7%94%D7%A6%D7%9C%D7%91
event-mongol-empire,Mongol Empire,האימפריה המונגולית,4966,5128,Largest contiguous land empire in history (1206–1368 CE),האימפריה הרצופה הגדולה ביותר בהיסטוריה (1206–1368 לספירה),https://en.wikipedia.org/wiki/Mongol_Empire,https://he.wikipedia.org/wiki/%D7%94%D7%90%D7%99%D7%9E%D7%A4%D7%A8%D7%99%D7%94_%D7%94%D7%9E%D7%95%D7%A0%D7%92%D7%95%D7%9C%D7%99%D7%AA
event-ottoman-empire,Ottoman Empire,האימפריה העות'מאנית,5059,5682,Turkish empire spanning three continents for over 600 years (1299–1922 CE),האימפריה התורכית שנפרסה על שלושה יבשות במשך למעלה מ-600 שנה (1299–1922 לספירה),https://en.wikipedia.org/wiki/Ottoman_Empire,https://he.wikipedia.org/wiki/%D7%94%D7%90%D7%99%D7%9E%D7%A4%D7%A8%D7%99%D7%94_%D7%94%D7%A2%D7%95%D7%AA'%D7%9E%D7%90%D7%A0%D7%99%D7%AA
event-renaissance,Renaissance,הרנסנס,5060,5360,European cultural and intellectual revival following the Middle Ages (c. 1300–1600 CE),התחייה התרבותית והאינטלקטואלית האירופאית לאחר ימי הביניים (כ-1300–1600 לספירה),https://en.wikipedia.org/wiki/Renaissance,https://he.wikipedia.org/wiki/%D7%A8%D7%A0%D7%A1%D7%90%D7%A0%D7%A1
event-hundred-years-war,Hundred Years War,מלחמת מאה השנים,5097,5213,Series of conflicts between England and France (1337–1453 CE),סדרת עימותים בין אנגליה לצרפת (1337–1453 לספירה),https://en.wikipedia.org/wiki/Hundred_Years%27_War,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%9E%D7%90%D7%94_%D7%94%D7%A9%D7%A0%D7%99%D7%9D
event-black-death,Black Death,המוות השחור,5107,5111,Devastating plague that killed 30–60% of Europe's population (1347–1351 CE),מגפה הרסנית שהרגה 30–60% מאוכלוסיית אירופה (1347–1351 לספירה),https://en.wikipedia.org/wiki/Black_Death,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%95%D7%95%D7%AA_%D7%94%D7%A9%D7%97%D7%95%D7%A8
event-age-of-discovery,Age of Discovery,עידן הגילויים,5179,5380,European exploration and mapping of the Americas and Africa (c. 1419–1620 CE),חקר ומיפוי אירופאי של האמריקות ואפריקה (כ-1419–1620 לספירה),https://en.wikipedia.org/wiki/Age_of_Discovery,https://he.wikipedia.org/wiki/%D7%A2%D7%99%D7%93%D7%9F_%D7%94%D7%AA%D7%92%D7%9C%D7%99%D7%95%D7%AA
event-protestant-reformation,Protestant Reformation,הרפורמציה הפרוטסטנטית,5277,5408,Religious movement that split Western Christianity (1517–1648 CE),תנועה דתית שפיצלה את הנצרות המערבית (1517–1648 לספירה),https://en.wikipedia.org/wiki/Protestant_Reformation,https://he.wikipedia.org/wiki/%D7%94%D7%A8%D7%A4%D7%95%D7%A8%D7%9E%D7%A6%D7%99%D7%94_%D7%94%D7%A4%D7%A8%D7%95%D7%98%D7%A1%D7%98%D7%A0%D7%98%D7%99%D7%AA
event-british-empire,British Empire,האימפריה הבריטית,5343,5757,Largest empire in history – at its peak covered a quarter of the world (1583–1997 CE),האימפריה הגדולה ביותר בהיסטוריה – בשיאה כיסתה רבע מהעולם (1583–1997 לספירה),https://en.wikipedia.org/wiki/British_Empire,https://he.wikipedia.org/wiki/%D7%94%D7%90%D7%99%D7%9E%D7%A4%D7%A8%D7%99%D7%94_%D7%94%D7%91%D7%A8%D7%99%D7%98%D7%99%D7%AA
event-thirty-years-war,Thirty Years War,מלחמת שלושים השנה,5378,5408,Devastating European religious and political war (1618–1648 CE),מלחמה אירופאית הרסנית על בסיס דתי ופוליטי (1618–1648 לספירה),https://en.wikipedia.org/wiki/Thirty_Years%27_War,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%A9%D7%9C%D7%95%D7%A9%D7%99%D7%9D_%D7%94%D7%A9%D7%A0%D7%99%D7%9D
event-enlightenment,Age of Enlightenment,עידן ההשכלה,5445,5575,European intellectual movement emphasizing reason and individual rights (c. 1685–1815 CE),תנועה אינטלקטואלית אירופאית המדגישה תבונה וזכויות הפרט (כ-1685–1815 לספירה),https://en.wikipedia.org/wiki/Age_of_Enlightenment,https://he.wikipedia.org/wiki/%D7%A2%D7%99%D7%93%D7%9F_%D7%94%D7%A0%D7%90%D7%95%D7%A8%D7%95%D7%AA
event-industrial-revolution,Industrial Revolution,המהפכה התעשייתית,5520,5600,Transition to manufacturing and industry – began in Britain (c. 1760–1840 CE),מעבר לייצור ותעשייה – החל בבריטניה (כ-1760–1840 לספירה),https://en.wikipedia.org/wiki/Industrial_Revolution,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%94%D7%A4%D7%9B%D7%94_%D7%94%D7%AA%D7%A2%D7%A9%D7%99%D7%99%D7%AA%D7%99%D7%AA
event-american-revolution,American Revolution,המהפכה האמריקאית,5535,5543,Colonial revolt against Britain leading to US independence (1775–1783 CE),"מרד המושבות נגד בריטניה שהוביל לעצמאות ארהב (1775–1783 לספירה)",https://en.wikipedia.org/wiki/American_Revolution,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%94%D7%A4%D7%9B%D7%94_%D7%94%D7%90%D7%9E%D7%A8%D7%99%D7%A7%D7%90%D7%99%D7%AA
event-french-revolution,French Revolution,המהפכה הצרפתית,5549,5559,Political and social revolution that overthrew the French monarchy (1789–1799 CE),מהפכה פוליטית וחברתית שהפילה את המלוכה הצרפתית (1789–1799 לספירה),https://en.wikipedia.org/wiki/French_Revolution,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%94%D7%A4%D7%9B%D7%94_%D7%94%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%D7%AA
event-napoleonic-wars,Napoleonic Wars,המלחמות הנפוליאוניות,5563,5575,Series of conflicts led by Napoleon that reshaped Europe (1803–1815 CE),סדרת מלחמות בהובלת נפוליאון ששינו את אירופה (1803–1815 לספירה),https://en.wikipedia.org/wiki/Napoleonic_Wars,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%95%D7%AA_%D7%94%D7%A0%D7%A4%D7%95%D7%9C%D7%99%D7%90%D7%95%D7%A0%D7%99%D7%95%D7%AA
event-american-civil-war,American Civil War,מלחמת האזרחים האמריקאית,5621,5625,War between the Union and Confederate states over slavery and secession (1861–1865 CE),מלחמה בין מדינות האיחוד והקונפדרציה על עבדות ופרישה (1861–1865 לספירה),https://en.wikipedia.org/wiki/American_Civil_War,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%90%D7%96%D7%A8%D7%97%D7%99%D7%9D_%D7%94%D7%90%D7%9E%D7%A8%D7%99%D7%A7%D7%A0%D7%99%D7%AA
event-wwi,World War I,מלחמת העולם הראשונה,5674,5678,Global war centred in Europe – over 20 million dead (1914–1918 CE),מלחמה עולמית שמרכזה באירופה – למעלה מ-20 מיליון הרוגים (1914–1918 לספירה),https://en.wikipedia.org/wiki/World_War_I,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%A2%D7%95%D7%9C%D7%9D_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94
event-wwii,World War II,מלחמת העולם השניה,5699,5705,Deadliest conflict in history – over 70 million casualties (1939–1945 CE),הסכסוך הקטלני ביותר בהיסטוריה – למעלה מ-70 מיליון קורבנות (1939–1945 לספירה),https://en.wikipedia.org/wiki/World_War_II,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%97%D7%9E%D7%AA_%D7%94%D7%A2%D7%95%D7%9C%D7%9D_%D7%94%D7%A9%D7%A0%D7%99%D7%99%D7%94
event-cold-war,Cold War,המלחמה הקרה,5707,5751,Geopolitical tension between the United States and Soviet Union (1947–1991 CE),"מתח גיאופוליטי בין ארהב לברית המועצות (1947–1991 לספירה)",https://en.wikipedia.org/wiki/Cold_War,https://he.wikipedia.org/wiki/%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94_%D7%94%D7%A7%D7%A8%D7%94
